vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
354,13,Brenden Bates,TE,CLE,2.8871574172514123,-108.95840943661108
355,13,Charlie Kolar,TE,BAL,2.8757793553353537,-109.15183648918406
356,13,Lucas Krull,TE,DEN,2.840112043797161,-109.75818078533334
357,13,Matthew Golden,WR,GB,4.956848659246614,-110.08695553343516
358,13,Jared Wiley,TE,KC,2.8168509153095758,-110.15361996962228
359,13,Nick Westbrook-Ikhine,WR,MIA,4.937903621554906,-110.4090211741942
360,13,Johnny Mundt,TE,JAX,2.764029277770419,-111.05158780778795
361,13,Blake Bell,TE,KC,2.748204479829706,-111.32060937278007
362,13,MyCole Pruitt,TE,PIT,2.744388867481386,-111.38547478270152
363,13,Ray Davis,RB,BUF,4.75930077711026,-111.46609711832163
364,13,Nate Adkins,TE,DEN,2.7373330699308176,-111.50542334106117
365,13,Chris Conley,WR,SF,4.862727490724934,-111.68701539830371
366,13,Keaton Mitchell,RB,BAL,4.732730706476684,-111.91778831909242
367,13,Braelon Allen,RB,NYJ,4.700196412712367,-112.47087131308581
368,13,Jaret Patterson,RB,LAC,4.6976692570342,-112.51383295961466
369,13,Anthony Firkser,TE,DET,2.6751381864821813,-112.562736359688
370,13,Lil'Jordan Humphrey,WR,DEN,4.7885988614398896,-112.94720209614947
371,13,John Shenker,TE,LV,2.647406470865131,-113.03417552517786
372,13,Shedeur Sanders,QB,CLE,10.027471274025686,-113.19269242201615
373,13,Will Mallory,TE,IND,2.6325728230179406,-113.28634753858009
374,13,Cam Grandy,TE,CIN,2.631388186482181,-113.306486359688
375,13,Tim Patrick,WR,JAX,4.765091971502532,-113.34681922508456
376,13,Joseph Fortson,TE,KC,2.6251842486429084,-113.41195330295564
377,13,Kenny Yeboah,TE,NYJ,2.6239875684330647,-113.43229686652298
378,13,Jaydon Blue,RB,DAL,4.6429119167645805,-113.44470774419818
379,13,Jaheim Bell,TE,NE,2.6126658237786176,-113.62476652564858
380,13,Josh Reynolds,WR,NYJ,4.741430003085978,-113.74907268816597
381,13,Carter Runyon,TE,LV,2.6029620264206863,-113.78973108073342
382,13,JuJu Smith-Schuster,WR,KC,4.737320735066231,-113.81893024450166
383,13,Nelson Agholor,WR,BAL,4.721512420668395,-114.08767158926489
384,13,Quintin Morris,TE,JAX,2.5819349235600253,-114.14719182936464
385,13,Ameer Abdullah,RB,IND,4.585929852457438,-114.41340283741961
386,13,Ben Sims,TE,MIN,2.545525872164185,-114.76614570309394
387,13,Julio Jones,WR,PHI,4.681212370352306,-114.7727724446384
388,13,Tyquan Thornton,WR,KC,4.668620998797098,-114.98682576107693
389,13,Jahdae Walker,WR,CHI,4.653081098744357,-115.25100406197353
390,13,Roman Wilson,WR,PIT,4.649131545662152,-115.31814646437101
391,13,Royce Freeman,RB,LA,4.521884181435905,-115.50217924478567
392,13,Jaylen Wright,RB,MIA,4.484997752404157,-116.12924853832538
393,13,Luke Farrell,TE,SF,2.459585472966642,-116.22713248945216
394,13,Tanner Conner,TE,MIA,2.459467124321454,-116.22914441642035
395,13,John Bates,TE,WAS,2.401262046196772,-117.21863074453996
396,13,Luke McCaffrey,WR,WAS,4.519322607642575,-117.52489841070381
397,13,Cam Akers,RB,MIN,4.402005074183236,-117.54012406808104
398,13,Ian Thomas,TE,LV,2.382221898034511,-117.5423132632984
399,13,Kalif Raymond,WR,DET,4.485582600953547,-118.09847852441729
400,13,Sean Tucker,RB,TB,4.367917731557196,-118.11960889272372
401,13,Tre Harris,WR,LAC,4.478953326587831,-118.21117618863447
402,13,Jack Westover,TE,NE,2.3126658237786177,-118.72476652564858
403,13,Jamison Crowder,WR,WAS,4.448091599441936,-118.73582555011468
404,13,Kyle Philips,WR,TEN,4.44549808463802,-118.77991530178126
405,13,Giovanni Ricci,TE,DET,2.281237252350046,-119.2590522399343
406,13,John Metchie III,WR,NYJ,4.417312899218924,-119.25906345390588
407,13,Eric Tomlinson,TE,LAC,2.2751507488896525,-119.36252279876099
408,13,Peyton Hendershot,TE,KC,2.260666223041378,-119.60875973818166
409,13,Julian Hill,TE,MIA,2.251781021320727,-119.75980816743271
410,13,Robert Woods,WR,HOU,4.3804992113215375,-119.88489614816146
411,13,Tip Reiman,TE,ARI,2.242836513987422,-119.91186479209891
412,13,Van Jefferson,WR,TEN,4.378339588808142,-119.92160973088917
413,13,Teagan Quitoriano,TE,ATL,2.2409516146905184,-119.94390808014627
414,13,Kylen Granson,TE,PHI,2.2377464266214866,-119.99839627731981
415,13,John FitzPatrick,TE,GB,2.2337369723621125,-120.06655699972916
416,13,Shedrick Jackson,WR,LV,4.369594964863973,-120.07026833794005
417,13,Damien Williams,RB,ARI,4.24133678715671,-120.27148494753199
418,13,Jonathon Brooks,RB,CAR,4.24133678715671,-120.27148494753199
419,13,Odell Beckham Jr.,WR,MIA,4.353233736196561,-120.34840922528606
420,13,Devontez Walker,WR,BAL,4.350704304996016,-120.39140955569532
421,13,Justin Shorter,TE,LV,2.2126658237786176,-120.42476652564858
422,13,Nick Kallerup,TE,SEA,2.2126658237786176,-120.42476652564858
423,13,David Sills,WR,ATL,4.346498510274016,-120.46290806596932
424,13,Zavier Scott,RB,MIN,4.227766534377082,-120.50217924478567
425,13,Mitchell Tinsley,WR,CIN,4.338355227495162,-120.60134387320984
426,13,Isaiah Davis,RB,NYJ,4.213136327686451,-120.75089275852639
427,13,Payne Durham,TE,TB,2.192737794206649,-120.76354302837204
428,13,Brandon Johnson,WR,PIT,4.299586657937193,-121.2604095556953
429,13,Geoff Swaim,TE,CLE,2.1492151904580106,-121.5034272920989
430,13,Andrew Ogletree,TE,IND,2.1459505468537454,-121.55892623337141
431,13,Durham Smythe,TE,CHI,2.14458129110949,-121.58220358102375
432,13,Malik Willis,QB,GB,9.533699879797757,-121.58680612389095
