tier,vbd_rank,adp_rank,value_gap,sleeper_flag,overvalued,valuation_basis,name,position,team,shrunk_ppg,active,injury_status
11.0,94.0,44.0,-50.0,False,True,VBD,Jaylen Waddle,WR,MIA,10.996659838360015,True,
11.0,95.0,122.0,27.0,True,False,VBD,Rachaad White,RB,TB,10.818011260358263,True,Questionable
11.0,96.0,101.0,5.0,False,False,VBD,Jordan Addison,WR,MIN,10.89133319473286,True,
11.0,97.0,91.0,-6.0,False,False,VBD,Caleb Williams,QB,CHI,16.14348994590899,True,
11.0,98.0,159.0,61.0,True,False,VBD,Dalton Kincaid,TE,BUF,8.744118069434624,True,
11.0,99.0,218.0,119.0,True,False,VBD,Dalton Schultz,TE,HOU,8.728459739795756,True,
11.0,100.0,173.0,73.0,True,False,VBD,Juwan Johnson,TE,NO,8.701008026843292,True,
11.0,101.0,74.0,-27.0,False,True,VBD,Rico Dowdle,RB,CAR,10.667788265705855,True,
11.0,102.0,85.0,-17.0,False,True,VBD,Chuba Hubbard,RB,CAR,10.604549606106152,True,Questionable
11.0,103.0,235.0,132.0,True,False,VBD,T.J. Hockenson,TE,MIN,8.569420106618539,True,
11.0,104.0,,,False,False,VBD,Zach Ertz,TE,WAS,8.53562123681026,True,
11.0,105.0,54.0,-51.0,False,True,VBD,Colston Loveland,TE,CHI,8.5103026471721,True,
11.0,106.0,32.0,-74.0,False,True,VBD,Tetairoa McMillan,WR,CAR,10.545085790649228,True,
11.0,107.0,,,False,False,VBD,Darren Waller,TE,MIA,8.391110798930352,True,
11.0,108.0,99.0,-9.0,False,False,VBD,RJ Harvey,RB,DEN,10.403131786278712,True,
11.0,109.0,100.0,-9.0,False,False,VBD,Quentin Johnston,WR,LAC,10.507860977186589,True,
11.0,110.0,66.0,-44.0,False,True,VBD,TreVeyon Henderson,RB,NE,10.385740481930888,True,Questionable
11.0,111.0,,,False,False,VBD,Evan Engram,TE,DEN,8.294237977993095,True,
11.0,112.0,139.0,27.0,True,False,VBD,Kyler Murray,QB,ARI,15.60092837127143,True,
11.0,113.0,,,False,False,VBD,Brandon Aiyuk,WR,SF,10.227383311795696,True,DNR
11.0,114.0,95.0,-19.0,False,True,VBD,Jayden Reed,WR,GB,10.206909818374127,True,
11.0,115.0,60.0,-55.0,False,True,VBD,Christian Watson,WR,GB,10.162712377147225,True,
11.0,116.0,153.0,37.0,True,False,VBD,Jordan Love,QB,GB,15.350684753849182,True,
11.0,117.0,179.0,62.0,True,False,VBD,Tyrone Tracy Jr.,RB,NYG,9.98012052905311,True,Questionable
11.0,118.0,,,False,False,VBD,Cade Otton,TE,TB,7.9444212987981935,True,
11.0,119.0,156.0,37.0,True,False,VBD,Jauan Jennings,WR,SF,10.05373205348632,True,
11.0,120.0,49.0,-71.0,False,True,VBD,Quinshon Judkins,RB,CLE,9.923601554220518,True,
11.0,121.0,190.0,69.0,True,False,VBD,Cooper Kupp,WR,SEA,9.95170956199128,True,
11.0,122.0,76.0,-46.0,False,True,VBD,Michael Wilson,WR,ARI,9.929181371725551,True,
11.0,123.0,,,False,False,VBD,Zack Moss,RB,CIN,9.801985804035066,True,Questionable
11.0,124.0,65.0,-59.0,False,True,VBD,Marvin Harrison Jr.,WR,ARI,9.889400214247363,True,
11.0,125.0,,,False,False,VBD,Amari Cooper,WR,BUF,9.834420779948989,True,
11.0,126.0,53.0,-73.0,False,True,VBD,Rome Odunze,WR,CHI,9.822332637216554,True,
11.0,127.0,143.0,16.0,True,False,VBD,Zach Charbonnet,RB,SEA,9.672328372657727,True,PUP
11.0,128.0,247.0,119.0,True,False,VBD,Pat Freiermuth,TE,PIT,7.636298347389794,True,
11.0,129.0,103.0,-26.0,False,True,VBD,Khalil Shakir,WR,BUF,9.706994777074192,True,Questionable
11.0,130.0,37.0,-93.0,False,True,VBD,Emeka Egbuka,WR,TB,9.688564051518794,True,Questionable
11.0,131.0,71.0,-60.0,False,True,VBD,Alec Pierce,WR,IND,9.658331747433383,True,
11.0,132.0,,,False,False,VBD,Jonnu Smith,TE,PIT,7.500292249785723,True,
11.0,133.0,124.0,-9.0,False,False,VBD,Jaxson Dart,QB,NYG,14.85322989181798,True,
11.0,134.0,113.0,-21.0,False,True,VBD,Romeo Doubs,WR,GB,9.548303913493738,True,
11.0,135.0,,,False,False,VBD,Oronde Gadsden II,TE,LAC,7.406031344656485,True,
11.0,136.0,92.0,-44.0,False,True,VBD,Josh Downs,WR,IND,9.511127288569355,True,Questionable
12.0,137.0,189.0,52.0,True,False,VBD,C.J. Stroud,QB,HOU,14.508636857766666,True,
12.0,138.0,,,False,False,VBD,Kareem Hunt,RB,KC,8.985042930499043,True,
12.0,139.0,,,False,False,VBD,Tyler Higbee,TE,LA,6.960391908954495,True,
12.0,140.0,133.0,-7.0,False,False,VBD,Jerry Jeudy,WR,CLE,9.057724311075471,True,
12.0,141.0,,,False,False,VBD,Theo Johnson,TE,NYG,6.904313183567182,True,Questionable
12.0,142.0,,,False,False,VBD,Taysom Hill,TE,NO,6.8954352541882304,True,
12.0,143.0,169.0,26.0,True,False,VBD,Calvin Ridley,WR,TEN,9.00342031271356,True,
12.0,144.0,,,False,False,VBD,Logan Thomas,TE,WAS,6.8603026471721,True,
12.0,145.0,,,False,False,VBD,AJ Barner,TE,SEA,6.795283575916974,True,
12.0,146.0,232.0,86.0,True,False,VBD,Brenton Strange,TE,JAX,6.76623299510807,True,
12.0,147.0,246.0,99.0,True,False,VBD,Chig Okonkwo,TE,TEN,6.744383602985678,True,
12.0,148.0,,,False,False,VBD,Justin Fields,QB,NYJ,14.040618701496642,True,
12.0,149.0,,,False,False,VBD,Alexander Mattison,RB,LV,8.617477053932037,True,
12.0,150.0,,,False,False,VBD,Austin Ekeler,RB,WAS,8.598295031894423,True,
12.0,151.0,129.0,-22.0,False,True,VBD,Rashid Shaheed,WR,NO,8.710826564603435,True,
12.0,152.0,187.0,35.0,True,False,VBD,Daniel Jones,QB,IND,13.962842722064488,True,
12.0,153.0,,,False,False,VBD,Cole Kmet,TE,CHI,6.525864041440484,True,
12.0,154.0,93.0,-61.0,False,True,VBD,Kenny Gainwell,RB,PIT,8.48486032398632,True,
12.0,155.0,130.0,-25.0,False,True,VBD,Tyjae Spears,RB,TEN,8.466370557094145,True,
12.0,156.0,109.0,-47.0,False,True,VBD,Xavier Worthy,WR,KC,8.554152032914786,True,
12.0,157.0,,,False,False,VBD,Colby Parkinson,TE,LA,6.395085035474799,True,
12.0,158.0,180.0,22.0,True,False,VBD,Isiah Pacheco,RB,KC,8.315267810077293,True,IR
12.0,159.0,,,False,False,VBD,Marquise Brown,WR,KC,8.403794233688398,True,
12.0,160.0,145.0,-15.0,False,False,VBD,Isaiah Likely,TE,BAL,6.2390894863156126,True,
12.0,161.0,,,False,False,VBD,Derek Carr,QB,NO,13.610766779354927,True,NA
12.0,162.0,,,False,False,VBD,Ricky Pearsall,WR,SF,8.305481874634147,True,IR
12.0,163.0,,,False,False,VBD,Mike Gesicki,TE,CIN,6.163068705533052,True,
12.0,164.0,,,False,False,VBD,Noah Fant,TE,CIN,5.986536149184649,True,
12.0,165.0,151.0,-14.0,False,False,VBD,Woody Marks,RB,HOU,7.989637776564109,True,
12.0,166.0,,,False,False,VBD,Tua Tagovailoa,QB,MIA,13.35535536936266,True,
13.0,167.0,,,False,False,VBD,Mason Taylor,TE,NYJ,5.738245170409799,True,
13.0,168.0,64.0,-104.0,False,True,VBD,Parker Washington,WR,JAX,7.859764812644565,True,
13.0,169.0,213.0,44.0,True,False,VBD,Brian Robinson,RB,SF,7.68113181949658,True,
13.0,170.0,242.0,72.0,True,False,VBD,Keon Coleman,WR,BUF,7.788279118455216,True,Questionable
13.0,171.0,137.0,-34.0,False,True,VBD,Tre Tucker,WR,LV,7.770251094840777,True,
13.0,172.0,231.0,59.0,True,False,VBD,Geno Smith,QB,LV,13.023038878895427,True,
13.0,173.0,121.0,-52.0,False,True,VBD,Jacory Croskey-Merritt,RB,WAS,7.607479612365669,True,Questionable
13.0,174.0,114.0,-60.0,False,True,VBD,Kyle Monangai,RB,CHI,7.537914394974365,True,Questionable
13.0,175.0,149.0,-26.0,False,True,VBD,Jalen McMillan,WR,TB,7.606822830783006,True,Questionable
13.0,176.0,175.0,-1.0,False,False,VBD,Najee Harris,RB,LAC,7.48297017113768,True,
13.0,177.0,,,False,False,VBD,Gus Edwards,RB,LAC,7.443760587100463,True,
13.0,178.0,229.0,51.0,True,False,VBD,Bryce Young,QB,CAR,12.812258749600325,True,
13.0,179.0,125.0,-54.0,False,True,VBD,Jalen Coker,WR,CAR,7.555606185176153,True,
13.0,180.0,,,False,False,VBD,Darrell Henderson,RB,LA,7.41720310844104,True,
13.0,181.0,52.0,-129.0,False,True,VBD,Luther Burden III,WR,CHI,7.477951104044394,True,Questionable
13.0,182.0,157.0,-25.0,False,True,VBD,Sam Darnold,QB,SEA,12.72333525084484,True,
13.0,183.0,261.0,78.0,True,False,VBD,Troy Franklin,WR,DEN,7.462709201197358,True,
13.0,184.0,,,False,False,VBD,Michael Thomas,WR,NO,7.433560824058268,True,
13.0,185.0,,,False,False,VBD,Dawson Knox,TE,BUF,5.260626110759327,True,
13.0,186.0,119.0,-67.0,False,True,VBD,Jordan Mason,RB,MIN,7.278890621688207,True,
13.0,187.0,,,False,False,VBD,Christian Kirk,WR,HOU,7.374205049224214,True,IR
13.0,188.0,,,False,False,VBD,Nick Chubb,RB,HOU,7.2007778844433465,True,
